participant_id,r1_likert,r2_likert,r3_likert,r4_likert,r5_likert,r6_likert,r7_likert,r8_likert,r9_likert,r10_likert,r11_likert,r12_likert,r13_likert,r14_likert,r15_likert,r16_likert,r17_likert,r18_likert,r19_likert,r20_likert
1,CC,FC,FC,CC,CC,CC,FC,CC,CC,CC,CC,CC,CC,CC,CC,CC,FC,CC,FC,CC
2,CC,FC,SC,CC,CC,CC,SC,SC,SC,SC,CC,FC,FC,SC,SC,CC,CC,CC,FC,CC
3,CC,CC,FC,FC,FC,FC,FC,FC,SC,SC,CC,FC,FC,SC,FC,FC,FC,CC,CC,CC
4,CC,FC,FC,FC,CC,CC,FC,CC,CC,CC,CC,FC,FC,CC,FC,CC,CC,CC,CC,FC
5,CC,CC,FC,CC,CC,CC,FC,FC,CC,CC,FC,FC,FC,CC,FC,CC,FC,FC,CC,CC
6,FC,CC,CC,CC,FC,CC,CC,FC,FC,CC,FC,FC,FC,CC,FC,CC,FC,FC,CC,FC
7,FC,FC,SC,CC,FC,FC,FC,FC,CC,FC,CC,FC,FC,SC,SC,FC,SC,SC,FC,FC
8,FC,FC,CC,CC,CC,FC,FC,CC,FC,CC,FC,FC,FC,FC,FC,FC,FC,FC,CC,CC
9,CC,CC,FC,FC,FC,CC,CC,FC,FC,FC,CC,CC,FC,FC,FC,CC,FC,FC,FC,FC
10,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC
11,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC
12,CC,CC,FC,CC,CC,FC,CC,FC,CC,FC,FC,CC,CC,CC,FC,CC,CC,CC,CC,CC
13,CC,FC,FC,CC,CC,CC,FC,FC,FC,CC,CC,FC,FC,CC,CC,CC,CC,FC,FC,SC
14,CC,FC,CC,FC,CC,CC,CC,CC,CC,CC,CC,CC,CC,FC,FC,CC,CC,FC,FC,FC
15,SC,FC,SC,FC,FC,CC,CC,SC,CC,CC,CC,FC,SC,FC,FC,CC,CC,CC,CC,FC
16,FC,FC,FC,FC,FC,CC,FC,SLC,FC,FC,CC,FC,FC,FC,FC,CC,FC,FC,FC,FC
17,CC,FC,SLC,SLC,SLC,CC,FC,FC,FC,FC,CC,FC,FC,FC,CC,CC,SLC,SLC,SLC,SLC
18,FC,SC,SC,FC,FC,SC,FC,SC,SC,SC,FC,FC,FC,SC,SC,CC,FC,SC,SC,SC
19,CC,FC,FC,CC,FC,CC,CC,CC,CC,FC,CC,CC,FC,CC,CC,CC,FC,FC,CC,FC
20,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC,FC
21,CC,FC,SC,CC,FC,CC,SC,SC,CC,CC,CC,CC,FC,FC,CC,CC,SC,FC,SC,SC
22,CC,CC,CC,CC,FC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,FC,CC,CC,FC,CC
23,FC,CC,FC,CC,CC,FC,CC,CC,CC,CC,FC,CC,CC,CC,CC,CC,CC,CC,FC,CC
24,FC,SC,FC,FC,FC,CC,CC,FC,FC,FC,FC,FC,FC,CC,FC,FC,FC,FC,FC,FC
25,CC,FC,FC,FC,CC,SC,FC,CC,FC,FC,CC,SC,FC,FC,FC,FC,SC,FC,FC,SC
